model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
LightGBM,0.9203625768857235,0.9252,0.029100418090820312,0.0223081111907959,0.3889892101287842,0.029100418090820312,0.0223081111907959,0.3889892101287842,0,True,1
WeightedEnsemble_L1,0.9193913887989641,0.9296,2.349897623062134,0.587338924407959,124.77707266807556,0.004257917404174805,0.006536722183227539,1.35817551612854,1,True,5
XGBoost,0.9184202007122046,0.9264,0.12142324447631836,0.03521585464477539,1.4190940856933594,0.12142324447631836,0.03521585464477539,1.4190940856933594,0,True,2
NeuralNetFastAI,0.9178536743282616,0.9204,0.8051891326904297,0.17043638229370117,65.35537981987,0.8051891326904297,0.17043638229370117,65.35537981987,0,True,4
NeuralNetMXNet,0.9155066364519262,0.9236,1.3899269104003906,0.352841854095459,56.25543403625488,1.3899269104003906,0.352841854095459,56.25543403625488,0,True,3
